time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	1	1	0	0	1	1	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	1	1	0	0	1	1	0	0
02:20:00	8400	1	0	0	1	1	0	0	1
02:25:00	8700	0	0	0	1	0	0	0	1
02:30:00	9000	0	1	0	0	0	1	0	0
02:35:00	9300	1	0	0	1	1	0	0	1
02:40:00	9600	1	1	0	1	1	1	0	1
02:45:00	9900	1	0	0	2	1	0	0	2
02:50:00	10200	0	2	0	0	0	2	0	0
02:55:00	10500	1	1	0	0	1	1	0	0
03:00:00	10800	2	0	0	2	2	0	0	2
03:05:00	11100	0	1	0	1	0	1	0	1
03:10:00	11400	0	1	0	0	0	1	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	1	0	0	1	1	0	0	1
03:30:00	12600	1	0	0	2	1	0	0	2
03:35:00	12900	3	2	0	3	3	2	0	3
03:40:00	13200	5	2	0	6	5	2	0	6
03:45:00	13500	3	2	0	7	3	2	0	7
03:50:00	13800	3	2	0	8	3	2	0	8
03:55:00	14100	4	3	0	9	4	3	0	9
04:00:00	14400	4	3	0	10	4	3	0	10
04:05:00	14700	5	1	0	14	5	1	0	14
04:10:00	15000	3	3	0	14	3	3	0	14
04:15:00	15300	3	4	0	13	3	4	0	13
04:20:00	15600	7	5	0	15	7	5	0	15
04:25:00	15900	4	4	0	15	4	4	0	15
04:30:00	16200	12	2	0	25	12	2	0	25
04:35:00	16500	18	12	0	31	18	12	0	31
04:40:00	16800	16	8	0	39	16	8	0	39
04:45:00	17100	16	10	0	45	16	10	0	45
04:50:00	17400	15	10	0	50	15	10	0	50
04:55:00	17700	12	10	0	52	12	10	0	52
05:00:00	18000	19	17	0	54	19	17	0	54
05:05:00	18300	18	13	0	59	18	13	0	59
05:10:00	18600	9	20	0	48	9	20	0	48
05:15:00	18900	16	15	0	49	16	15	0	49
05:20:00	19200	20	16	0	53	20	16	0	53
05:25:00	19500	22	14	0	61	22	14	0	61
05:30:00	19800	32	16	0	77	32	16	0	77
05:35:00	20100	24	19	0	82	24	19	0	82
05:40:00	20400	19	31	0	70	19	31	0	70
05:45:00	20700	25	23	0	72	25	23	0	72
05:50:00	21000	27	24	0	75	27	24	0	75
05:55:00	21300	23	20	0	78	23	20	0	78
06:00:00	21600	29	26	0	81	29	26	0	81
06:05:00	21900	29	17	0	93	29	17	0	93
06:10:00	22200	24	22	0	95	24	22	0	95
06:15:00	22500	36	28	0	103	36	28	0	103
06:20:00	22800	32	22	0	113	32	22	0	113
06:25:00	23100	21	28	0	106	21	28	0	106
06:30:00	23400	29	32	0	103	29	32	0	103
06:35:00	23700	34	21	0	116	34	21	0	116
06:40:00	24000	29	26	0	119	29	26	0	119
06:45:00	24300	32	30	0	121	32	30	0	121
06:50:00	24600	19	37	0	103	19	37	0	103
06:55:00	24900	27	25	0	105	27	25	0	105
07:00:00	25200	28	32	0	101	28	32	0	101
07:05:00	25500	33	21	0	113	33	21	0	113
07:10:00	25800	35	34	0	114	35	34	0	114
07:15:00	26100	30	15	0	129	30	15	0	129
07:20:00	26400	32	30	0	131	32	30	0	131
07:25:00	26700	26	33	0	124	26	33	0	124
07:30:00	27000	26	25	0	125	26	25	0	125
07:35:00	27300	36	24	0	137	36	24	0	137
07:40:00	27600	35	32	0	140	35	32	0	140
07:45:00	27900	27	32	0	135	27	32	0	135
07:50:00	28200	24	33	0	126	24	33	0	126
07:55:00	28500	26	26	0	126	26	26	0	126
08:00:00	28800	29	34	0	121	29	34	0	121
08:05:00	29100	30	30	0	121	30	30	0	121
08:10:00	29400	34	28	0	127	34	28	0	127
08:15:00	29700	18	22	0	123	18	22	0	123
08:20:00	30000	28	42	0	109	28	42	0	109
08:25:00	30300	23	18	0	114	23	18	0	114
08:30:00	30600	28	31	0	111	28	31	0	111
08:35:00	30900	22	25	0	108	22	25	0	108
08:40:00	31200	31	25	0	114	31	25	0	114
08:45:00	31500	27	35	0	106	27	35	0	106
08:50:00	31800	22	17	0	111	22	17	0	111
08:55:00	32100	28	31	0	108	28	31	0	108
09:00:00	32400	27	23	0	112	27	23	0	112
09:05:00	32700	31	26	0	117	31	26	0	117
09:10:00	33000	20	26	0	111	20	26	0	111
09:15:00	33300	29	31	0	109	29	31	0	109
09:20:00	33600	28	27	0	110	28	27	0	110
09:25:00	33900	24	28	0	106	24	28	0	106
09:30:00	34200	22	28	0	100	22	28	0	100
