ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	135.74428445858516	135.74428445858516	135.74428445858516	135.74428445858516
1	135.3538274184111	135.31997274250966	135.54905142388023	135.77813010525114
2	135.1153534641382	134.8923813160052	135.36873935865617	135.80834347886304
3	134.99820730240504	134.48503418982853	135.21533566790026	135.84255000949187
4	134.89675184287685	134.0761007431932	135.07226603790411	135.87299955909336
5	134.80464687322078	133.68969481017578	134.94609209990637	135.90946943346208
6	134.77239808859827	133.3546849767886	134.84783642696118	135.94052683503554
7	134.7337390449169	133.05346801916934	134.7613095461203	135.96199977053067
8	134.65611961015514	132.78043369981356	134.6817150941307	135.99429654230929
9	134.5912205126252	132.54093336680458	134.61240843702515	136.016856995106
10	134.64772207968088	132.39216988688352	134.58400868816202	136.04437373424244
