hour 	 mean relative error 	 mean absolute bias
1	1000.0	1.0
2	1000.0	1.0
3	1000.0	1.0
4	1000.0	1.0
5	18.143356564172063	-47.5
6	29.121065673217842	1507.0
7	35.01621906076073	950.5000000000005
8	40.999640834569846	1204.0000000000002
9	54.700327022691866	2295.0000000000005
10	46.43362261592923	1848.0
11	1000.0	1.0
12	1000.0	1.0
13	1000.0	1.0
14	1000.0	1.0
15	1000.0	1.0
16	1000.0	1.0
17	1000.0	1.0
18	1000.0	1.0
19	1000.0	1.0
20	1000.0	1.0
21	1000.0	1.0
22	1000.0	1.0
23	1000.0	1.0
24	1000.0	1.0
