ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	8827.606539264025	8827.606539264025	8827.606539264025	8827.606539264025
1	8841.068370278703	8829.64513020793	8834.337454771365	8839.071676934647
2	8849.56361715628	8830.67256242917	8839.409594820323	8847.441189236333
3	8851.760749488803	8831.49074302346	8841.686404306156	8849.687993059113
4	8853.16863465119	8832.882405360708	8843.769011205593	8851.863899920512
5	8854.377411916483	8834.2955485784	8845.360011191624	8851.699796737294
6	8855.163987028276	8836.069672832169	8846.97821888715	8851.974281190687
7	8854.358948412755	8836.757055422791	8847.923671442084	8851.533309531826
8	8855.378222984178	8839.035597764005	8848.832082037494	8852.512200796218
9	8858.15070655548	8840.043352464687	8850.01036609596	8853.793768870382
10	8860.382184257365	8842.714886353077	8851.274022675818	8852.95762794005
11	8857.287481703732	8842.440955067623	8851.679036926087	8852.446393596365
12	8857.218912259385	8843.64940160045	8852.425501185746	8853.526441552785
13	8858.422066011513	8844.566430136509	8853.087864081264	8854.574682920582
14	8857.10249172776	8846.897656691488	8853.929843959066	8852.42205847465
15	8859.573540879883	8847.450189948471	8854.550601579607	8853.952290869885
16	8858.75410909399	8847.945561887647	8854.819666949628	8853.669771108094
17	8857.409465823303	8847.051562608403	8855.177238374772	8853.644115478339
18	8857.199110217874	8849.638273590625	8855.678923066394	8854.960183852252
19	8856.717616829666	8852.150897565609	8856.202901357452	8854.385671215963
20	8856.395526560935	8849.559055525164	8856.531465475013	8854.900125844331
21	8859.716312117487	8853.989172097507	8857.394517922574	8853.736968688998
22	8858.90020993017	8855.932360197618	8857.752369904489	8853.79854374503
23	8860.568156565621	8856.829515414962	8858.09196641909	8854.250505608645
24	8858.942712332615	8856.336790753217	8858.116014686622	8853.99342637139
25	8858.696273795416	8855.532034447264	8858.370473092715	8854.501521950815
26	8858.610202176453	8858.56473426715	8858.671940569546	8853.084744752852
27	8857.642743334454	8856.65430623785	8858.41319498826	8853.291775558204
28	8859.042298667035	8858.237449968268	8858.684512694272	8853.82844363649
29	8858.79591429209	8857.171056387446	8858.4865608406	8853.49239787381
30	8858.612322349398	8859.037425648561	8858.699415740817	8854.197978285943
31	8858.824065256063	8858.715745143314	8859.11576677995	8855.382347452325
32	8860.271044378376	8861.819662639364	8859.313397140095	8855.22033292026
33	8858.406237849365	8861.24930796234	8859.196079248353	8855.377576257955
34	8858.245978456454	8861.459165806264	8859.348130178787	8854.835035847484
35	8859.299360580415	8861.533006110305	8859.702896884126	8855.066664052882
36	8859.524917858358	8861.523818613188	8859.603595803845	8855.530990537307
37	8858.303549984528	8859.12922371769	8859.279076801213	8855.110829640455
38	8861.386842011148	8861.452946900186	8859.360549698697	8854.37060934066
39	8861.18822361152	8859.280063660444	8859.15586005785	8855.462448925784
40	8860.786445087699	8859.154141842457	8859.353940197649	8855.944432314058
41	8860.328726344367	8861.863885081606	8859.507334217182	8856.046460017698
42	8861.467990949368	8862.13136580556	8859.747301437816	8856.211326585146
43	8860.610969551813	8860.233297687353	8859.825659920642	8855.461812150836
44	8862.391209738846	8859.73052662248	8859.998753364285	8855.798272070071
45	8858.98725093807	8860.745947172283	8859.796800585287	8855.338770289867
46	8860.99574377947	8862.821271129153	8860.095824719383	8854.97362153384
47	8860.271251395206	8861.482349384933	8859.852863464863	8854.301918557463
48	8858.966686867212	8861.66048865131	8859.71378769407	8854.159287586952
49	8859.328479465205	8861.940219519818	8859.773130605125	8852.192312205601
50	8861.038337279133	8863.74764494771	8859.820517512215	8852.500070250273
51	8862.514165346263	8862.928186062187	8859.872284215797	8854.453918101079
52	8861.38711471929	8861.222868311597	8859.515631357322	8852.771303727894
53	8859.776121760966	8860.622393835309	8859.364250315664	8853.067233729942
54	8860.304571369043	8859.078550750351	8859.47803061787	8853.289524158945
55	8860.81709741314	8860.095983541849	8859.815654932687	8851.870102454419
56	8861.722106310432	8859.383365217418	8859.7264223771	8853.743610240068
57	8861.46864734209	8861.949492068594	8859.994982401444	8853.035392994108
58	8861.82872438527	8862.835232977654	8859.957220330576	8854.55820395197
59	8861.728473263194	8861.537415587145	8859.685598867965	8854.663940109578
60	8861.226012546467	8861.359202577501	8859.465157508435	8853.818661207186
61	8860.556062838183	8859.810261184606	8859.181227630075	8853.102967327877
62	8861.295906177793	8862.127371028613	8859.319457991403	8852.98946750275
63	8862.350925483113	8862.768673553763	8859.566900194292	8853.296442324352
64	8861.07670961628	8861.131723121316	8859.227787615378	8853.821121039522
65	8861.246945779998	8861.317777964943	8859.275794503052	8854.576277790698
66	8861.58517410243	8862.33530302168	8859.268036281273	8854.74109992592
67	8861.746902613058	8862.444023856227	8859.383987746707	8854.797806581902
68	8859.353378138976	8861.518043355612	8858.959738829635	8854.354151954456
69	8861.180660069776	8861.911416660056	8859.110831657337	8854.411670479316
70	8859.728505761912	8859.896307322715	8858.583120567871	8855.089590055233
71	8861.72330217464	8860.651089312247	8858.90455717479	8854.998103669479
72	8861.935706938846	8862.025893857659	8859.028904947932	8854.796818628798
73	8861.106130226968	8862.772164008713	8859.089826218016	8854.725854715634
74	8860.924950046643	8861.899846140495	8859.0089144485	8854.828454540671
75	8860.179355787814	8859.381583373312	8858.84000320916	8853.684827597051
76	8860.837207508413	8861.75522087	8859.038007631216	8853.338290197627
77	8861.531244896943	8861.842833364948	8859.12757958302	8854.17099149227
78	8859.377782878644	8860.596371544869	8859.060841481387	8852.893514517413
79	8858.747364478175	8859.77790125039	8858.993319829633	8853.620582397369
80	8858.653293907639	8859.670879501795	8859.186457412858	8854.485791377021
81	8860.080506752956	8862.713773502215	8859.219804105998	8853.621430080353
82	8859.89391139749	8862.431069706208	8859.219804105998	8853.595385504434
83	8859.853251107013	8863.023822556082	8859.219804105998	8853.525838066784
84	8859.598305948775	8862.884515530732	8859.219804105998	8853.091473021002
85	8859.275217730816	8862.620125620213	8859.219804105998	8853.401357009348
86	8859.253078778007	8862.45488160099	8859.219804105998	8853.497131314236
87	8859.229070433998	8862.60937997804	8859.219804105998	8853.676990237514
88	8858.93328814383	8862.478719796989	8859.219804105998	8854.02193903581
89	8859.242024734966	8862.509708162497	8859.219804105998	8853.727344035757
90	8859.110460935031	8863.494996016598	8859.219804105998	8853.404480353049
91	8859.006669672843	8862.869732338575	8859.219804105998	8853.36970091338
92	8858.732504141826	8862.899912901961	8859.219804105998	8853.45176481531
93	8858.53050202219	8863.103314570353	8859.219804105998	8853.102111565955
94	8858.64652158543	8862.819858002968	8859.219804105998	8853.194405352913
95	8859.057318326984	8863.11188937157	8859.219804105998	8853.561449456118
96	8859.305898567938	8862.15284368504	8859.219804105998	8853.430551059328
97	8858.905048490535	8862.14896385617	8859.219804105998	8853.641539905728
98	8858.809981334767	8862.444570528674	8859.219804105998	8853.574645171904
99	8858.755634576573	8862.902452737328	8859.219804105998	8854.044444353214
100	8858.095106655624	8862.62881633546	8859.219804105998	8854.004158155443
